Label,United States!!Total!!Estimate,United States!!Total!!Margin of Error,United States!!With a computer !!Broadband Internet Subscription!!Estimate,United States!!With a computer !!Broadband Internet Subscription!!Margin of Error,United States!!With a computer !!Percent  Broadband Internet Subscription!!Estimate,United States!!With a computer !!Percent  Broadband Internet Subscription!!Margin of Error,United States!!With a computer !!Without an Internet Subscription!!Estimate,United States!!With a computer !!Without an Internet Subscription!!Margin of Error,United States!!With a computer !!Percent without an Internet Subscription!!Estimate,United States!!With a computer !!Percent without an Internet Subscription!!Margin of Error,United States!!No computer in household!!Estimate,United States!!No computer in household!!Margin of Error,United States!!Percent no computer in household!!Estimate,United States!!Percent no computer in household!!Margin of Error
Total population in households,"315,047,636",*****,"268,488,173","±295,374",85.2%,±0.1,"23,651,394","±213,525",7.5%,±0.1,"21,890,565","±129,587",6.9%,±0.1
AGE,,,,,,,,,,,,,,
Under 18 years,"73,432,181","±33,847","65,050,932","±85,790",88.6%,±0.1,"5,681,683","±76,394",7.7%,±0.1,"2,582,832","±51,625",3.5%,±0.1
18 to 64 years,"193,925,254","±25,462","169,533,827","±195,917",87.4%,±0.1,"14,291,626","±133,331",7.4%,±0.1,"9,654,081","±79,441",5.0%,±0.1
65 years and over,"47,690,201","±21,589","33,903,414","±66,481",71.1%,±0.1,"3,678,085","±36,637",7.7%,±0.1,"9,653,652","±48,270",20.2%,±0.1
RACE AND HISPANIC OR LATINO ORIGIN,,,,,,,,,,,,,,
    White alone,"229,364,987","±114,086","197,875,903","±274,939",86.3%,±0.1,"15,357,236","±164,018",6.7%,±0.1,"15,285,832","±110,360",6.7%,±0.1
    Black or African American alone,"39,106,754","±69,032","30,252,449","±93,585",77.4%,±0.2,"4,582,761","±61,383",11.7%,±0.2,"4,180,815","±55,877",10.7%,±0.1
    American Indian and Alaska Native alone,"2,593,569","±32,209","1,852,334","±28,123",71.4%,±0.5,"348,100","±11,851",13.4%,±0.4,"381,197","±13,970",14.7%,±0.5
    Asian alone,"17,201,609","±43,381","15,922,718","±49,438",92.6%,±0.2,"743,586","±22,631",4.3%,±0.1,"506,771","±16,727",2.9%,±0.1
    Native Hawaiian and Other Pacific Islander alone,"575,605","±11,361","472,201","±13,253",82.0%,±1.5,"56,835","±7,455",9.9%,±1.3,"44,844","±5,107",7.8%,±0.9
    Some other race alone,"16,067,104","±120,686","13,011,432","±107,341",81.0%,±0.3,"1,893,940","±51,207",11.8%,±0.3,"1,135,606","±35,193",7.1%,±0.2
    Two or more races,"10,138,008","±90,576","9,101,136","±91,748",89.8%,±0.2,"668,936","±23,120",6.6%,±0.2,"355,500","±14,509",3.5%,±0.1
    Hispanic or Latino origin (of any race),"56,328,580","±17,106","45,662,176","±108,241",81.1%,±0.2,"6,307,607","±92,055",11.2%,±0.2,"4,238,023","±60,439",7.5%,±0.1
"    White alone, not Hispanic or Latino","192,880,809","±27,339","168,497,497","±187,894",87.4%,±0.1,"11,259,169","±132,281",5.8%,±0.1,"12,366,855","±85,562",6.4%,±0.1
EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,
Household population 25 years and over,"213,931,834","±67,640","179,031,208","±233,149",83.7%,±0.1,"15,617,539","±124,262",7.3%,±0.1,"18,427,422","±93,770",8.6%,±0.1
        Less than high school graduate or equivalency,"26,133,192","±102,374","16,735,833","±67,824",64.0%,±0.2,"3,405,225","±45,481",13.0%,±0.2,"5,892,441","±50,717",22.5%,±0.2
"        High school graduate (includes equivalency), some college or associate's degree","119,928,722","±118,750","98,577,811","±139,555",82.2%,±0.1,"9,756,954","±86,749",8.1%,±0.1,"11,014,436","±63,115",9.2%,±0.1
        Bachelor's degree or higher,"67,869,920","±190,557","63,717,564","±198,047",93.9%,±0.1,"2,455,360","±31,481",3.6%,±0.1,"1,520,545","±20,498",2.2%,±0.1
EMPLOYMENT STATUS,,,,,,,,,,,,,,
Civilian population 16 years and over,"249,265,625","±44,856","210,314,316","±246,624",84.4%,±0.1,"18,504,600","±156,217",7.4%,±0.1,"19,531,338","±103,367",7.8%,±0.1
        In labor force,"160,408,944","±126,081","142,974,500","±205,215",89.1%,±0.1,"10,803,094","±105,637",6.7%,±0.1,"6,263,758","±56,286",3.9%,±0.1
            Employed,"151,325,354","±139,482","135,416,576","±210,613",89.5%,±0.1,"9,910,564","±98,694",6.5%,±0.1,"5,651,721","±52,652",3.7%,±0.1
            Unemployed,"9,083,590","±49,231","7,557,924","±45,047",83.2%,±0.2,"892,530","±19,375",9.8%,±0.2,"612,037","±14,984",6.7%,±0.2
        Not in labor force,"88,856,681","±114,431","67,339,816","±128,976",75.8%,±0.1,"7,701,506","±70,461",8.7%,±0.1,"13,267,580","±72,131",14.9%,±0.1
