Label,United States!!Total!!Estimate,United States!!Total!!Margin of Error,United States!!With a computer!!Broadband Internet Subscription!!Estimate,United States!!With a computer!!Broadband Internet Subscription!!Margin of Error,United States!!With a computer!!Percent  Broadband Internet Subscription!!Estimate,United States!!With a computer!!Percent  Broadband Internet Subscription!!Margin of Error,United States!!With a computer!!Without an Internet Subscription!!Estimate,United States!!With a computer!!Without an Internet Subscription!!Margin of Error,United States!!With a computer!!Percent without an Internet Subscription!!Estimate,United States!!With a computer!!Percent without an Internet Subscription!!Margin of Error,United States!!No computer in household!!Estimate,United States!!No computer in household!!Margin of Error,United States!!Percent no computer in household!!Estimate,United States!!Percent no computer in household!!Margin of Error
Total population in households,"320,155,161",*****,"286,322,120","±295,700",89.4%,±0.1,"19,276,615","±229,820",6.0%,±0.1,"14,075,582","±121,574",4.4%,±0.1
    AGE,,,,,,,,,,,,,,
Under 18 years,"72,776,044","±33,470","67,373,791","±75,620",92.6%,±0.1,"3,919,810","±73,997",5.4%,±0.1,"1,439,865","±43,873",2.0%,±0.1
18 to 64 years,"194,817,736","±30,533","177,958,156","±192,740",91.3%,±0.1,"11,254,685","±147,256",5.8%,±0.1,"5,427,093","±66,826",2.8%,±0.1
65 years and over,"52,561,381","±26,542","40,990,173","±79,489",78.0%,±0.1,"4,102,120","±42,845",7.8%,±0.1,"7,208,624","±49,901",13.7%,±0.1
    RACE AND HISPANIC OR LATINO ORIGIN,,,,,,,,,,,,,,
        White alone,"231,243,644","±100,666","208,318,523","±250,991",90.1%,±0.1,"12,598,584","±169,884",5.4%,±0.1,"9,916,931","±97,075",4.3%,±0.1
        Black or African American alone,"40,187,749","±78,212","33,723,824","±87,154",83.9%,±0.2,"3,758,975","±72,374",9.4%,±0.2,"2,671,076","±46,622",6.6%,±0.1
        American Indian and Alaska Native alone,"2,748,055","±33,741","2,141,823","±33,775",77.9%,±0.5,"328,122","±14,493",11.9%,±0.5,"274,251","±10,787",10.0%,±0.4
        Asian alone,"18,265,926","±41,192","17,341,903","±48,295",94.9%,±0.1,"583,143","±22,759",3.2%,±0.1,"325,010","±15,134",1.8%,±0.1
        Native Hawaiian and Other Pacific Islander alone,"608,335","±17,909","528,035","±16,915",86.8%,±1.4,"47,553","±7,235",7.8%,±1.1,"31,989","±6,624",5.3%,±1.1
        Some other race alone,"16,070,793","±122,449","13,983,920","±118,578",87.0%,±0.4,"1,450,150","±53,188",9.0%,±0.3,"627,459","±27,628",3.9%,±0.2
        Two or more races,"11,030,659","±120,511","10,284,092","±115,670",93.2%,±0.2,"510,088","±20,925",4.6%,±0.2,"228,866","±12,036",2.1%,±0.1
        Hispanic or Latino origin (of any race),"59,357,578","±18,300","52,016,816","±106,861",87.6%,±0.2,"4,902,329","±85,835",8.3%,±0.1,"2,403,902","±61,524",4.0%,±0.1
"        White alone, not Hispanic or Latino","192,267,185","±31,407","174,225,773","±182,385",90.6%,±0.1,"9,389,435","±134,414",4.9%,±0.1,"8,264,688","±79,731",4.3%,±0.1
    EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,
Household population 25 years and over,"220,312,986","±69,101","194,099,669","±256,089",88.1%,±0.1,"13,616,334","±151,108",6.2%,±0.1,"12,176,452","±89,046",5.5%,±0.1
            Less than high school graduate or equivalency,"24,406,244","±124,318","17,709,757","±85,516",72.6%,±0.2,"2,924,651","±51,424",12.0%,±0.2,"3,729,402","±42,418",15.3%,±0.1
"            High school graduate (includes equivalency), some college or associate's degree","121,860,474","±156,222","105,683,751","±157,834",86.7%,±0.1,"8,571,875","±100,815",7.0%,±0.1,"7,316,579","±59,675",6.0%,±0.1
            Bachelor's degree or higher,"74,046,268","±238,679","70,706,161","±248,417",95.5%,±0.1,"2,119,808","±31,339",2.9%,±0.1,"1,130,471","±20,474",1.5%,±0.1
    EMPLOYMENT STATUS,,,,,,,,,,,,,,
Civilian population 16 years and over,"254,639,295","±54,557","225,717,854","±261,543",88.6%,±0.1,"15,721,562","±178,002",6.2%,±0.1,"12,756,873","±96,200",5.0%,±0.1
            In labor force,"164,811,855","±159,879","152,459,356","±242,220",92.5%,±0.1,"8,592,448","±110,438",5.2%,±0.1,"3,605,172","±47,487",2.2%,±0.1
                Employed,"157,491,355","±157,764","145,969,633","±235,373",92.7%,±0.1,"8,040,406","±104,954",5.1%,±0.1,"3,334,318","±44,995",2.1%,±0.1
                Unemployed,"7,320,500","±47,167","6,489,723","±44,936",88.7%,±0.2,"552,042","±15,568",7.5%,±0.2,"270,854","±11,299",3.7%,±0.2
            Not in labor force,"89,827,440","±139,627","73,258,498","±122,969",81.6%,±0.1,"7,129,114","±84,789",7.9%,±0.1,"9,151,701","±70,204",10.2%,±0.1
