Label,United States!!Total!!Estimate,United States!!Total!!Margin of Error,United States!!With a computer !!Broadband Internet Subscription!!Estimate,United States!!With a computer !!Broadband Internet Subscription!!Margin of Error,United States!!With a computer !!Percent  Broadband Internet Subscription!!Estimate,United States!!With a computer !!Percent  Broadband Internet Subscription!!Margin of Error,United States!!With a computer !!Without an Internet Subscription!!Estimate,United States!!With a computer !!Without an Internet Subscription!!Margin of Error,United States!!With a computer !!Percent without an Internet Subscription!!Estimate,United States!!With a computer !!Percent without an Internet Subscription!!Margin of Error,United States!!No computer in household!!Estimate,United States!!No computer in household!!Margin of Error,United States!!Percent no computer in household!!Estimate,United States!!Percent no computer in household!!Margin of Error
Total population in households,"313,347,925",*****,"253,148,812","±283,039",80.8%,±0.1,"30,037,691","±191,998",9.6%,±0.1,"28,656,219","±168,034",9.1%,±0.1
AGE,,,,,,,,,,,,,,
Under 18 years,"73,421,397","±34,858","61,149,687","±93,294",83.3%,±0.1,"7,824,385","±76,819",10.7%,±0.1,"4,213,832","±60,295",5.7%,±0.1
18 to 64 years,"193,694,488","±28,517","161,038,951","±184,918",83.1%,±0.1,"18,403,504","±126,539",9.5%,±0.1,"13,478,009","±103,836",7%,±0.1
65 years and over,"46,232,040","±22,899","30,960,174","±57,897",67%,±0.1,"3,809,802","±30,823",8.2%,±0.1,"10,964,378","±44,454",23.7%,±0.1
RACE AND HISPANIC OR LATINO ORIGIN,,,,,,,,,,,,,,
    White alone,"229,670,031","±118,731","189,136,662","±240,672",82.4%,±0.1,"19,598,698","±132,687",8.5%,±0.1,"19,738,955","±138,008",8.6%,±0.1
    Black or African American alone,"38,887,726","±64,531","27,120,229","±109,505",69.7%,±0.2,"6,015,630","±71,814",15.5%,±0.2,"5,601,637","±70,323",14.4%,±0.2
    American Indian and Alaska Native alone,"2,509,105","±28,517","1,637,272","±26,222",65.3%,±0.7,"397,150","±14,103",15.8%,±0.5,"459,364","±13,875",18.3%,±0.5
    Asian alone,"16,934,031","±36,519","15,464,644","±41,636",91.3%,±0.2,"785,675","±24,565",4.6%,±0.1,"631,938","±18,910",3.7%,±0.1
    Native Hawaiian and Other Pacific Islander alone,"535,627","±13,157","428,872","±14,289",80.1%,±1.4,"53,725","±5,866",10%,±1.1,"50,659","±6,380",9.5%,±1.2
    Some other race alone,"15,106,629","±121,102","11,110,562","±103,779",73.5%,±0.4,"2,254,912","±55,589",14.9%,±0.3,"1,680,956","±45,006",11.1%,±0.3
    Two or more races,"9,704,776","±84,413","8,250,571","±73,896",85%,±0.3,"931,901","±24,728",9.6%,±0.2,"492,710","±15,750",5.1%,±0.2
    Hispanic or Latino origin (of any race),"55,446,561","±17,562","41,293,424","±121,667",74.5%,±0.2,"7,459,152","±86,896",13.5%,±0.2,"6,467,830","±86,385",11.7%,±0.2
"    White alone, not Hispanic or Latino","192,934,465","±27,803","161,861,352","±153,155",83.9%,±0.1,"14,809,663","±99,648",7.7%,±0.1,"15,217,543","±104,109",7.9%,±0.1
EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,
Household population 25 years and over,"211,915,830","±70,518","168,505,053","±216,187",79.5%,±0.1,"19,175,771","±106,910",9%,±0.1,"23,058,438","±117,944",10.9%,±0.1
        Less than high school graduate or equivalency,"26,512,739","±108,176","15,049,519","±72,490",56.8%,±0.2,"3,914,868","±46,651",14.8%,±0.2,"7,391,338","±60,599",27.9%,±0.2
"        High school graduate (includes equivalency), some college or associate's degree","119,606,666","±124,472","92,813,516","±159,294",77.6%,±0.1,"12,215,270","±73,935",10.2%,±0.1,"13,798,084","±80,350",11.5%,±0.1
        Bachelor's degree or higher,"65,796,425","±176,677","60,642,018","±175,601",92.2%,±0.1,"3,045,633","±30,604",4.6%,±0.1,"1,869,016","±22,605",2.8%,±0.1
EMPLOYMENT STATUS,,,,,,,,,,,,,,
Civilian population 16 years and over,"247,498,949","±45,439","198,519,106","±228,826",80.2%,±0.1,"22,880,363","±139,034",9.2%,±0.1,"24,794,617","±130,711",10%,±0.1
        In labor force,"159,243,523","±113,054","135,367,424","±194,906",85%,±0.1,"14,280,174","±99,538",9%,±0.1,"8,966,435","±75,927",5.6%,±0.1
            Employed,"149,352,938","±117,556","127,792,563","±190,888",85.6%,±0.1,"12,950,350","±92,316",8.7%,±0.1,"8,021,581","±69,560",5.4%,±0.1
            Unemployed,"9,890,585","±52,043","7,574,861","±48,233",76.6%,±0.3,"1,329,824","±22,832",13.4%,±0.2,"944,854","±20,545",9.6%,±0.2
        Not in labor force,"88,255,426","±111,978","63,151,682","±111,741",71.6%,±0.1,"8,600,189","±70,201",9.7%,±0.1,"15,828,182","±79,445",17.9%,±0.1
